Month,Revenue_VND,Cost_VND,Profit_VND,Quantity_Ton,AI_Prediction_Accuracy,ESG_Score,Total_Orders,Marketplace_Revenue_VND
2025-01,109953535.6,62868893,47084642.6,2313.3,92.78,81.8,44,42549151.8
2025-02,119405785.3,68651286,50754499.300000004,2417.8,93.01,85.11,42,44014068.0
2025-03,98356952.3,58177283,40179669.300000004,2138.1,92.55,83.56,38,29479843.8
2025-04,86640314.9,50548823,36091491.9,1692.9,92.57,84.67,38,33057473.7
2025-05,100248195.0,57663341,42584854.0,2126.2,92.91,83.58,47,48209598.7
2025-06,108098278.3,64328987,43769291.3,2264.2,93.31,83.3,44,42108894.9
2025-07,94201631.6,54097197,40104434.6,2091.8,93.17,84.64,40,39637080.3
2025-08,107961138.7,63969124,43992014.7,2178.7,93.44,84.3,38,42414880.2
2025-09,101388163.9,58294923,43093240.900000006,2385.2,92.61,84.13,40,33399676.7
2025-10,89849786.6,51960153,37889633.6,1997.9,92.82,84.42,35,29544302.8
2025-11,103934935.7,60137706,43797229.7,2441.3,93.49,83.89,41,33796444.5
2025-12,115677694.1,65732803,49944891.1,2298.7,93.3,84.57,53,55378147.7
